(u737, p6):(u2, p6, 0)
(u432, p513):(u346, p513, 1513)
(u346, p513):(-1, -1, 1514)
(u833, p24):(u347, p24, 1515)
(u833, p207):(u347, p207, 1516)
(u710, p80):(u349, p80, 1517)
(u1170, p80):(u349, p80, 1518)
(u467, p155):(u355, p155, 1519)
(u679, p155):(u355, p155, 1520)
(u502, p155):(u355, p155, 1521)
(u771, p155):(u355, p155, 1522)
(u42, p155):(u355, p155, 1523)
(u1168, p155):(u355, p155, 1524)
(u922, p155):(u355, p155, 1525)
(u733, p155):(u355, p155, 1526)
(u375, p155):(u355, p155, 1527)
(u713, p155):(u355, p155, 1528)
(u956, p155):(u355, p155, 1529)
(u1021, p155):(u355, p155, 1530)
(u527, p155):(u355, p155, 1531)
(u1006, p155):(u355, p155, 1532)
(u417, p155):(u355, p155, 1533)
(u527, p156):(u355, p156, 1534)
(u1006, p156):(u355, p156, 1535)
(u956, p156):(u355, p156, 1536)
(u467, p156):(u355, p156, 1537)
(u502, p156):(u355, p156, 1538)
(u42, p156):(u355, p156, 1539)
(u922, p156):(u355, p156, 1540)
(u733, p156):(u355, p156, 1541)
(u713, p156):(u355, p156, 1542)
(u1021, p156):(u355, p156, 1543)
(u1117, p515):(u357, p515, 1544)
(u357, p515):(-1, -1, 1545)
(u587, p249):(u358, p249, 1546)
(u782, p249):(u358, p249, 1547)
(u1097, p249):(u358, p249, 1548)
(u617, p249):(u358, p249, 1549)
(u782, p372):(u358, p372, 1550)
(u587, p372):(u358, p372, 1551)
(u1097, p372):(u358, p372, 1552)
(u617, p372):(u358, p372, 1553)
(u289, p102):(u359, p102, 1554)
(u26, p102):(u359, p102, 1555)
(u786, p102):(u359, p102, 1556)
(u434, p102):(u359, p102, 1557)
(u433, p102):(u359, p102, 1558)
(u541, p102):(u359, p102, 1559)
(u157, p102):(u359, p102, 1560)
(u1066, p102):(u359, p102, 1561)
(u755, p102):(u359, p102, 1562)
(u1005, p102):(u359, p102, 1563)
(u1082, p102):(u359, p102, 1564)
(u816, p102):(u359, p102, 1565)
(u464, p102):(u359, p102, 1566)
(u668, p102):(u359, p102, 1567)
(u741, p102):(u359, p102, 1568)
(u464, p30):(u359, p30, 1569)
(u1082, p30):(u359, p30, 1570)
(u26, p30):(u359, p30, 1571)
(u434, p30):(u359, p30, 1572)
(u1005, p30):(u359, p30, 1573)
(u668, p30):(u359, p30, 1574)
(u786, p30):(u359, p30, 1575)
(u433, p30):(u359, p30, 1576)
(u541, p30):(u359, p30, 1577)
(u251, p30):(u359, p30, 1578)
(u741, p30):(u359, p30, 1579)
(u1066, p30):(u359, p30, 1580)
(u157, p30):(u359, p30, 1581)
(u755, p30):(u359, p30, 1582)
(u289, p30):(u359, p30, 1583)
(u816, p30):(u359, p30, 1584)
(u360, p97):(u360, p239, 1585)
(u360, p240):(u360, p239, 1586)
(u360, p43):(u360, p52, 1587)
(u368, p212):(u368, p220, 1588)
(u683, p147):(u371, p147, 1589)
(u621, p147):(u371, p147, 1590)
(u683, p302):(u371, p302, 1591)
(u99, p302):(u371, p302, 1592)
(u322, p302):(u371, p302, 1593)
(u371, p147):(u371, p302, 1594)
(u621, p302):(u371, p302, 1595)
(u371, p302):(-1, -1, 1596)
(u583, p26):(u372, p26, 1597)
(u201, p98):(u373, p98, 1598)
(u111, p98):(u373, p98, 1599)
(u215, p98):(u373, p98, 1600)
(u1179, p98):(u373, p98, 1601)
(u1182, p98):(u373, p98, 1602)
(u201, p33):(u373, p33, 1603)
(u111, p33):(u373, p33, 1604)
(u1179, p33):(u373, p33, 1605)
(u1182, p33):(u373, p33, 1606)
(u374, p521):(u374, p522, 1607)
(u418, p522):(u374, p522, 1608)
(u418, p521):(u374, p522, 1609)
(u418, p520):(u374, p522, 1610)
(u374, p520):(u374, p522, 1611)
(u848, p521):(u374, p522, 1612)
(u848, p522):(u374, p522, 1613)
(u848, p520):(u374, p522, 1614)
(u374, p522):(-1, -1, 1615)
(u1168, p523):(u375, p523, 1616)
(u281, p470):(u378, p470, 1617)
(u281, p466):(u378, p466, 1618)
(u383, p250):(u383, p527, 1619)
(u936, p523):(u385, p523, 1620)
(u733, p523):(u385, p523, 1621)
(u605, p523):(u385, p523, 1622)
(u849, p523):(u385, p523, 1623)
(u375, p523):(u385, p523, 1624)
(u509, p523):(u385, p523, 1625)
(u570, p523):(u385, p523, 1626)
(u391, p523):(u385, p523, 1627)
(u1029, p523):(u385, p523, 1628)
(u385, p523):(-1, -1, 1629)
(u63, p225):(u386, p225, 1630)
(u386, p225):(-1, -1, 1631)
(u389, p41):(u389, p432, 1632)
(u390, p172):(u390, p182, 1633)
(u390, p51):(u390, p182, 1634)
(u390, p47):(u390, p182, 1635)
(u390, p43):(u390, p182, 1636)
(u390, p110):(u390, p531, 1637)
(u390, p108):(u390, p531, 1638)
(u390, p109):(u390, p531, 1639)
(u390, p42):(u390, p531, 1640)
(u390, p54):(u390, p531, 1641)
(u390, p107):(u390, p531, 1642)
(u390, p104):(u390, p171, 1643)
(u390, p49):(u390, p216, 1644)
(u390, p52):(u390, p40, 1645)
(u975, p185):(u392, p185, 1646)
(u882, p185):(u392, p185, 1647)
(u613, p185):(u392, p185, 1648)
(u679, p185):(u392, p185, 1649)
(u47, p185):(u392, p185, 1650)
(u633, p185):(u392, p185, 1651)
(u392, p185):(-1, -1, 1652)
(u731, p13):(u393, p13, 1653)
(u393, p13):(u393, p122, 1654)
(u731, p122):(u393, p122, 1655)
(u731, p17):(u393, p17, 1656)
(u1178, p426):(u395, p426, 1657)
(u231, p426):(u395, p426, 1658)
(u869, p426):(u395, p426, 1659)
(u817, p426):(u395, p426, 1660)
(u748, p426):(u395, p426, 1661)
(u906, p426):(u395, p426, 1662)
(u219, p426):(u395, p426, 1663)
(u395, p426):(-1, -1, 1664)
(u396, p50):(u396, p355, 1665)
(u396, p13):(u396, p17, 1666)
(u397, p166):(u397, p296, 1667)
(u4, p11):(u400, p11, 1668)
(u860, p11):(u400, p11, 1669)
(u409, p11):(u400, p11, 1670)
(u409, p20):(u400, p11, 1671)
(u860, p20):(u400, p11, 1672)
(u516, p11):(u400, p11, 1673)
(u516, p20):(u400, p11, 1674)
(u400, p20):(u400, p11, 1675)
(u677, p11):(u400, p11, 1676)
(u677, p20):(u400, p11, 1677)
(u749, p11):(u400, p11, 1678)
(u749, p20):(u400, p11, 1679)
(u400, p11):(-1, -1, 1680)
(u402, p535):(u402, p277, 1681)
(u402, p277):(-1, -1, 1682)
(u1148, p536):(u403, p536, 1683)
(u521, p536):(u403, p536, 1684)
(u742, p536):(u403, p536, 1685)
(u521, p537):(u403, p537, 1686)
(u1148, p537):(u403, p537, 1687)
(u742, p537):(u403, p537, 1688)
(u405, p541):(u405, p540, 1689)
(u407, p544):(u407, p545, 1690)
(u407, p173):(u407, p545, 1691)
(u653, p188):(u410, p188, 1692)
(u897, p188):(u410, p188, 1693)
(u787, p188):(u410, p188, 1694)
(u897, p95):(u410, p95, 1695)
(u787, p95):(u410, p95, 1696)
(u517, p542):(u411, p542, 1697)
(u517, p268):(u411, p268, 1698)
(u439, p371):(u412, p371, 1699)
(u439, p208):(u412, p208, 1700)
(u399, p534):(u413, p534, 1701)
(u594, p534):(u413, p534, 1702)
(u594, p161):(u413, p161, 1703)
(u399, p161):(u413, p161, 1704)
(u280, p413):(u415, p413, 1705)
(u320, p413):(u415, p413, 1706)
(u1106, p413):(u415, p413, 1707)
(u871, p413):(u415, p413, 1708)
(u246, p413):(u415, p413, 1709)
(u246, p446):(u415, p446, 1710)
(u871, p446):(u415, p446, 1711)
(u1106, p446):(u415, p446, 1712)
(u320, p446):(u415, p446, 1713)
(u280, p446):(u415, p446, 1714)
(u5, p24):(u416, p24, 1715)
(u903, p56):(u418, p56, 1716)
(u280, p56):(u418, p56, 1717)
(u1094, p56):(u418, p56, 1718)
(u1033, p56):(u418, p56, 1719)
(u13, p56):(u418, p56, 1720)
(u336, p56):(u418, p56, 1721)
(u425, p56):(u418, p56, 1722)
(u910, p56):(u418, p56, 1723)
(u528, p56):(u418, p56, 1724)
(u611, p56):(u418, p56, 1725)
(u616, p56):(u418, p56, 1726)
(u944, p56):(u418, p56, 1727)
(u308, p56):(u418, p56, 1728)
(u125, p56):(u418, p56, 1729)
(u116, p56):(u418, p56, 1730)
(u179, p56):(u418, p56, 1731)
(u370, p56):(u418, p56, 1732)
(u702, p56):(u418, p56, 1733)
(u418, p56):(-1, -1, 1734)
(u1155, p549):(u419, p549, 1735)
(u419, p550):(u419, p549, 1736)
(u1155, p550):(u419, p549, 1737)
(u419, p549):(-1, -1, 1738)
(u1087, p547):(u422, p547, 1739)
(u510, p547):(u422, p547, 1740)
(u1010, p547):(u422, p547, 1741)
(u494, p547):(u422, p547, 1742)
(u414, p547):(u422, p547, 1743)
(u555, p547):(u422, p547, 1744)
(u655, p547):(u422, p547, 1745)
(u645, p547):(u422, p547, 1746)
(u659, p547):(u422, p547, 1747)
(u1081, p547):(u422, p547, 1748)
(u781, p547):(u422, p547, 1749)
(u843, p547):(u422, p547, 1750)
(u422, p547):(-1, -1, 1751)
(u559, p271):(u423, p271, 1752)
(u559, p102):(u423, p102, 1753)
(u559, p36):(u423, p36, 1754)
(u909, p284):(u425, p284, 1755)
(u805, p284):(u425, p284, 1756)
(u91, p284):(u425, p284, 1757)
(u1113, p284):(u425, p284, 1758)
(u338, p284):(u425, p284, 1759)
(u425, p284):(-1, -1, 1760)
(u210, p115):(u427, p115, 1761)
(u427, p116):(u427, p115, 1762)
(u427, p115):(-1, -1, 1763)
(u465, p13):(u430, p13, 1764)
(u992, p13):(u430, p13, 1765)
(u737, p13):(u430, p13, 1766)
(u698, p13):(u430, p13, 1767)
(u698, p552):(u430, p552, 1768)
(u737, p552):(u430, p552, 1769)
(u992, p552):(u430, p552, 1770)
(u465, p552):(u430, p552, 1771)
(u430, p13):(u430, p552, 1772)
(u698, p5):(u430, p5, 1773)
(u992, p5):(u430, p5, 1774)
(u465, p17):(u430, p17, 1775)
(u698, p17):(u430, p17, 1776)
(u737, p17):(u430, p17, 1777)
(u992, p17):(u430, p17, 1778)
(u435, p554):(u435, p558, 1779)
(u1079, p553):(u435, p558, 1780)
(u1079, p558):(u435, p558, 1781)
(u435, p557):(u435, p558, 1782)
(u1079, p554):(u435, p558, 1783)
(u1079, p557):(u435, p558, 1784)
(u435, p553):(u435, p558, 1785)
(u435, p556):(u435, p555, 1786)
(u1079, p556):(u435, p555, 1787)
(u1079, p555):(u435, p555, 1788)
(u435, p558):(u435, p555, 1789)
(u435, p555):(-1, -1, 1790)
(u436, p366):(u436, p559, 1791)
(u642, p560):(u437, p560, 1792)
(u642, p561):(u437, p561, 1793)
(u845, p204):(u443, p204, 1794)
(u252, p204):(u443, p204, 1795)
(u1180, p286):(u445, p381, 1796)
(u158, p381):(u445, p381, 1797)
(u971, p287):(u445, p381, 1798)
(u723, p287):(u445, p381, 1799)
(u971, p381):(u445, p381, 1800)
(u723, p381):(u445, p381, 1801)
(u1180, p287):(u445, p381, 1802)
(u791, p287):(u445, p381, 1803)
(u791, p381):(u445, p381, 1804)
(u971, p286):(u445, p381, 1805)
(u445, p286):(u445, p381, 1806)
(u723, p286):(u445, p381, 1807)
(u1180, p381):(u445, p381, 1808)
(u791, p286):(u445, p381, 1809)
(u445, p381):(-1, -1, 1810)
(u446, p564):(u446, p565, 1811)
(u482, p564):(u446, p565, 1812)
(u482, p565):(u446, p565, 1813)
(u929, p564):(u446, p565, 1814)
(u929, p565):(u446, p565, 1815)
(u446, p565):(-1, -1, 1816)
(u800, p63):(u448, p63, 1817)
(u963, p63):(u448, p63, 1818)
(u692, p63):(u448, p63, 1819)
(u952, p63):(u448, p63, 1820)
(u1013, p63):(u448, p63, 1821)
(u800, p58):(u448, p57, 1822)
(u1013, p57):(u448, p57, 1823)
(u952, p57):(u448, p57, 1824)
(u963, p566):(u448, p57, 1825)
(u963, p13):(u448, p57, 1826)
(u692, p566):(u448, p57, 1827)
(u692, p13):(u448, p57, 1828)
(u963, p58):(u448, p57, 1829)
(u800, p57):(u448, p57, 1830)
(u952, p566):(u448, p57, 1831)
(u448, p566):(u448, p57, 1832)
(u692, p58):(u448, p57, 1833)
(u448, p13):(u448, p57, 1834)
(u952, p13):(u448, p57, 1835)
(u1013, p566):(u448, p57, 1836)
(u1013, p13):(u448, p57, 1837)
(u952, p58):(u448, p57, 1838)
(u963, p57):(u448, p57, 1839)
(u448, p58):(u448, p57, 1840)
(u448, p63):(u448, p57, 1841)
(u1013, p58):(u448, p57, 1842)
(u800, p566):(u448, p57, 1843)
(u800, p13):(u448, p57, 1844)
(u692, p57):(u448, p57, 1845)
(u448, p57):(-1, -1, 1846)
(u824, p44):(u451, p44, 1847)
(u824, p50):(u451, p50, 1848)
(u824, p87):(u451, p87, 1849)
(u907, p61):(u452, p61, 1850)
(u907, p567):(u452, p567, 1851)
(u452, p61):(u452, p567, 1852)
(u452, p567):(-1, -1, 1853)
(u454, p569):(u454, p571, 1854)
(u454, p568):(u454, p571, 1855)
(u454, p13):(u454, p571, 1856)
(u878, p533):(u455, p533, 1857)
(u679, p533):(u455, p533, 1858)
(u456, p572):(-1, -1, 1859)
(u459, p575):(u459, p574, 1860)
(u190, p406):(u460, p406, 1861)
(u924, p406):(u460, p406, 1862)
(u688, p406):(u460, p406, 1863)
(u514, p406):(u460, p406, 1864)
(u876, p406):(u460, p406, 1865)
(u460, p406):(-1, -1, 1866)
(u708, p143):(u466, p143, 1867)
(u708, p200):(u466, p200, 1868)
(u976, p45):(u469, p45, 1869)
(u976, p47):(u469, p47, 1870)
(u976, p43):(u469, p43, 1871)
(u976, p54):(u469, p54, 1872)
(u976, p52):(u469, p52, 1873)
(u469, p43):(u469, p52, 1874)
(u976, p51):(u469, p51, 1875)
(u976, p123):(u469, p123, 1876)
(u553, p278):(u472, p278, 1877)
(u257, p145):(u472, p145, 1878)
(u553, p145):(u472, p145, 1879)
(u451, p44):(u475, p44, 1880)
(u451, p87):(u475, p87, 1881)
(u553, p257):(u476, p257, 1882)
(u1097, p50):(u477, p50, 1883)
(u45, p169):(u479, p169, 1884)
(u479, p178):(u479, p169, 1885)
(u165, p169):(u479, p169, 1886)
(u113, p169):(u479, p169, 1887)
(u230, p169):(u479, p169, 1888)
(u479, p164):(u479, p163, 1889)
(u45, p164):(u479, p163, 1890)
(u113, p163):(u479, p163, 1891)
(u45, p162):(u479, p162, 1892)
(u113, p162):(u479, p162, 1893)
(u481, p142):(u481, p150, 1894)
(u481, p147):(u481, p150, 1895)
(u855, p80):(u484, p80, 1896)
(u855, p26):(u484, p26, 1897)
(u855, p241):(u484, p241, 1898)
(u855, p242):(u484, p242, 1899)
(u855, p184):(u484, p184, 1900)
(u488, p157):(u488, p158, 1901)
(u489, p580):(u489, p39, 1902)
(u489, p39):(u489, p579, 1903)
(u489, p579):(-1, -1, 1904)
(u491, p205):(u491, p373, 1905)
(u151, p373):(u491, p373, 1906)
(u491, p373):(-1, -1, 1907)
(u492, p295):(u492, p431, 1908)
(u492, p13):(u492, p431, 1909)
(u492, p42):(u492, p431, 1910)
(u492, p54):(u492, p431, 1911)
(u492, p104):(u492, p431, 1912)
(u492, p43):(u492, p431, 1913)
(u492, p46):(u492, p431, 1914)
(u492, p110):(u492, p431, 1915)
(u492, p107):(u492, p431, 1916)
(u492, p210):(u492, p211, 1917)
(u926, p581):(u494, p581, 1918)
(u1099, p581):(u494, p581, 1919)
(u494, p581):(-1, -1, 1920)
(u542, p355):(u498, p355, 1921)
(u135, p355):(u498, p355, 1922)
(u498, p50):(u498, p355, 1923)
(u396, p355):(u498, p355, 1924)
(u498, p355):(-1, -1, 1925)
(u598, p151):(u500, p151, 1926)
(u598, p492):(u500, p492, 1927)
(u503, p459):(u503, p582, 1928)
(u503, p529):(u503, p582, 1929)
(u503, p13):(u503, p582, 1930)
(u503, p505):(u503, p582, 1931)
(u503, p41):(u503, p582, 1932)
(u804, p584):(u504, p584, 1933)
(u804, p583):(u504, p584, 1934)
(u504, p583):(u504, p584, 1935)
(u504, p584):(-1, -1, 1936)
(u505, p265):(u505, p585, 1937)
(u505, p585):(u505, p586, 1938)
(u825, p152):(u506, p152, 1939)
(u1003, p152):(u506, p152, 1940)
(u784, p152):(u506, p152, 1941)
(u899, p152):(u506, p152, 1942)
(u507, p159):(u507, p157, 1943)
(u43, p159):(u507, p157, 1944)
(u507, p157):(-1, -1, 1945)
(u325, p498):(u508, p498, 1946)
(u871, p498):(u508, p498, 1947)
(u754, p498):(u508, p498, 1948)
(u520, p498):(u508, p498, 1949)
(u1123, p498):(u508, p498, 1950)
(u406, p498):(u508, p498, 1951)
(u517, p498):(u508, p498, 1952)
(u981, p498):(u508, p498, 1953)
(u508, p498):(-1, -1, 1954)
(u1138, p366):(u509, p366, 1955)
(u338, p13):(u510, p13, 1956)
(u1004, p13):(u510, p13, 1957)
(u1004, p397):(u510, p397, 1958)
(u338, p397):(u510, p397, 1959)
(u884, p420):(u512, p420, 1960)
(u512, p420):(-1, -1, 1961)
(u165, p388):(u513, p388, 1962)
(u746, p388):(u513, p388, 1963)
(u1049, p388):(u513, p388, 1964)
(u513, p388):(-1, -1, 1965)
(u517, p32):(u517, p239, 1966)
(u517, p97):(u517, p239, 1967)
(u517, p240):(u517, p239, 1968)
(u517, p98):(u517, p239, 1969)
(u517, p333):(u517, p589, 1970)
(u653, p591):(u519, p591, 1971)
(u725, p591):(u519, p591, 1972)
(u653, p504):(u519, p504, 1973)
(u725, p504):(u519, p504, 1974)
(u1121, p99):(u523, p99, 1975)
(u1121, p208):(u523, p208, 1976)
(u332, p99):(u527, p99, 1977)
(u523, p99):(u527, p99, 1978)
(u680, p99):(u527, p99, 1979)
(u25, p99):(u527, p99, 1980)
(u490, p99):(u527, p99, 1981)
(u527, p99):(-1, -1, 1982)
(u1098, p543):(u528, p543, 1983)
(u496, p543):(u528, p543, 1984)
(u406, p543):(u528, p543, 1985)
(u928, p543):(u528, p543, 1986)
(u528, p543):(-1, -1, 1987)
(u960, p536):(u529, p536, 1988)
(u730, p536):(u529, p536, 1989)
(u624, p536):(u529, p536, 1990)
(u730, p592):(u529, p592, 1991)
(u960, p592):(u529, p592, 1992)
(u529, p536):(u529, p592, 1993)
(u624, p592):(u529, p592, 1994)
(u529, p592):(-1, -1, 1995)
(u841, p224):(u531, p224, 1996)
(u532, p594):(u532, p593, 1997)
(u753, p594):(u532, p593, 1998)
(u753, p593):(u532, p593, 1999)
(u532, p593):(-1, -1, 2000)
(u866, p414):(u536, p414, 2001)
(u829, p414):(u536, p414, 2002)
(u829, p595):(u536, p595, 2003)
(u536, p414):(u536, p595, 2004)
(u866, p595):(u536, p595, 2005)
(u536, p595):(-1, -1, 2006)
(u755, p72):(u541, p72, 2007)
(u755, p202):(u541, p202, 2008)
(u547, p188):(u547, p594, 2009)
(u547, p594):(-1, -1, 2010)
(u355, p156):(u548, p156, 2011)
(u894, p156):(u548, p156, 2012)
(u936, p156):(u548, p156, 2013)
(u455, p156):(u548, p156, 2014)
(u605, p156):(u548, p156, 2015)
(u953, p156):(u548, p156, 2016)
(u646, p156):(u548, p156, 2017)
(u61, p156):(u548, p156, 2018)
(u1060, p156):(u548, p156, 2019)
(u667, p156):(u548, p156, 2020)
(u858, p156):(u548, p156, 2021)
(u211, p156):(u548, p156, 2022)
(u248, p156):(u548, p156, 2023)
(u85, p156):(u548, p156, 2024)
(u548, p156):(-1, -1, 2025)
(u908, p362):(u550, p598, 2026)
(u908, p598):(u550, p598, 2027)
(u550, p362):(u550, p598, 2028)
(u550, p598):(-1, -1, 2029)
(u401, p31):(u551, p31, 2030)
(u284, p31):(u551, p31, 2031)
(u10, p31):(u551, p31, 2032)
(u822, p36):(u551, p36, 2033)
(u284, p36):(u551, p36, 2034)
(u10, p36):(u551, p36, 2035)
(u941, p36):(u551, p36, 2036)
(u401, p36):(u551, p36, 2037)
(u1054, p265):(u552, p265, 2038)
(u736, p265):(u552, p265, 2039)
(u135, p265):(u552, p265, 2040)
(u661, p265):(u552, p265, 2041)
(u552, p50):(u552, p133, 2042)
(u736, p133):(u552, p133, 2043)
(u1021, p600):(u555, p600, 2044)
(u555, p600):(-1, -1, 2045)
(u600, p26):(u556, p26, 2046)
(u67, p26):(u556, p26, 2047)
(u6, p26):(u556, p26, 2048)
(u372, p26):(u556, p26, 2049)
(u1133, p26):(u556, p26, 2050)
(u320, p26):(u556, p26, 2051)
(u484, p26):(u556, p26, 2052)
(u201, p26):(u556, p26, 2053)
(u662, p26):(u556, p26, 2054)
(u556, p26):(-1, -1, 2055)
(u558, p166):(u558, p181, 2056)
(u558, p42):(u558, p376, 2057)
(u558, p104):(u558, p376, 2058)
(u558, p43):(u558, p376, 2059)
(u558, p46):(u558, p376, 2060)
(u558, p110):(u558, p376, 2061)
(u558, p165):(u558, p376, 2062)
(u558, p19):(u558, p376, 2063)
(u558, p51):(u558, p376, 2064)
(u558, p107):(u558, p376, 2065)
(u558, p175):(u558, p376, 2066)
(u558, p52):(u558, p376, 2067)
(u558, p109):(u558, p376, 2068)
(u558, p181):(u558, p376, 2069)
(u558, p13):(u558, p376, 2070)
(u558, p168):(u558, p376, 2071)
(u558, p163):(u558, p164, 2072)
(u558, p45):(u558, p180, 2073)
(u558, p47):(u558, p180, 2074)
(u559, p121):(u559, p603, 2075)
(u560, p74):(u560, p467, 2076)
(u887, p203):(u562, p203, 2077)
(u59, p203):(u562, p203, 2078)
(u101, p203):(u562, p203, 2079)
(u887, p202):(u562, p202, 2080)
(u59, p202):(u562, p202, 2081)
(u101, p202):(u562, p202, 2082)
(u564, p605):(u564, p382, 2083)
(u564, p382):(-1, -1, 2084)
(u155, p102):(u565, p102, 2085)
(u663, p102):(u565, p102, 2086)
(u797, p102):(u565, p102, 2087)
(u541, p72):(u565, p72, 2088)
(u797, p72):(u565, p72, 2089)
(u663, p72):(u565, p72, 2090)
(u741, p72):(u565, p72, 2091)
(u155, p72):(u565, p72, 2092)
(u1057, p72):(u565, p72, 2093)
(u125, p72):(u565, p72, 2094)
(u26, p72):(u565, p72, 2095)
(u434, p72):(u565, p72, 2096)
(u573, p541):(u573, p540, 2097)
(u803, p149):(u574, p149, 2098)
(u99, p149):(u574, p149, 2099)
(u39, p149):(u574, p149, 2100)
(u1072, p149):(u574, p149, 2101)
(u818, p149):(u574, p149, 2102)
(u1137, p149):(u574, p149, 2103)
(u165, p149):(u574, p149, 2104)
(u574, p149):(-1, -1, 2105)
(u1048, p294):(u580, p294, 2106)
(u1048, p481):(u580, p481, 2107)
(u985, p145):(u581, p145, 2108)
(u139, p145):(u581, p145, 2109)
(u155, p145):(u581, p145, 2110)
(u822, p362):(u581, p362, 2111)
(u155, p362):(u581, p362, 2112)
(u985, p362):(u581, p362, 2113)
(u139, p362):(u581, p362, 2114)
(u268, p255):(u587, p255, 2115)
(u689, p255):(u587, p255, 2116)
(u245, p255):(u587, p255, 2117)
(u244, p255):(u587, p255, 2118)
(u872, p255):(u587, p255, 2119)
(u74, p255):(u587, p255, 2120)
(u659, p255):(u587, p255, 2121)
(u612, p255):(u587, p255, 2122)
(u806, p255):(u587, p255, 2123)
(u115, p255):(u587, p255, 2124)
(u587, p255):(-1, -1, 2125)
(u557, p74):(u591, p74, 2126)
(u557, p601):(u591, p601, 2127)
(u23, p93):(u596, p93, 2128)
(u280, p93):(u596, p93, 2129)
(u23, p72):(u596, p72, 2130)
(u280, p72):(u596, p72, 2131)
(u23, p68):(u596, p68, 2132)
(u961, p93):(u598, p93, 2133)
(u1176, p93):(u598, p93, 2134)
(u389, p93):(u598, p93, 2135)
(u473, p93):(u598, p93, 2136)
(u785, p93):(u598, p93, 2137)
(u246, p93):(u598, p93, 2138)
(u626, p93):(u598, p93, 2139)
(u295, p93):(u598, p93, 2140)
(u352, p93):(u598, p93, 2141)
(u134, p93):(u598, p93, 2142)
(u108, p93):(u598, p93, 2143)
(u683, p93):(u598, p93, 2144)
(u596, p93):(u598, p93, 2145)
(u951, p93):(u598, p93, 2146)
(u407, p93):(u598, p93, 2147)
(u1094, p93):(u598, p93, 2148)
(u110, p93):(u598, p93, 2149)
(u51, p93):(u598, p93, 2150)
(u795, p93):(u598, p93, 2151)
(u146, p93):(u598, p93, 2152)
(u115, p93):(u598, p93, 2153)
(u517, p93):(u598, p93, 2154)
(u1108, p93):(u598, p93, 2155)
(u1106, p93):(u598, p93, 2156)
(u1163, p93):(u598, p93, 2157)
(u941, p93):(u598, p93, 2158)
(u560, p93):(u598, p93, 2159)
(u1020, p93):(u598, p93, 2160)
(u794, p93):(u598, p93, 2161)
(u850, p93):(u598, p93, 2162)
(u147, p93):(u598, p93, 2163)
(u207, p93):(u598, p93, 2164)
(u786, p93):(u598, p93, 2165)
(u179, p93):(u598, p93, 2166)
(u273, p93):(u598, p93, 2167)
(u370, p93):(u598, p93, 2168)
(u818, p93):(u598, p93, 2169)
(u39, p93):(u598, p93, 2170)
(u898, p93):(u598, p93, 2171)
(u1165, p93):(u598, p93, 2172)
(u655, p93):(u598, p93, 2173)
(u598, p93):(-1, -1, 2174)
(u484, p184):(u600, p184, 2175)
(u1133, p184):(u600, p184, 2176)
(u662, p184):(u600, p184, 2177)
(u67, p184):(u600, p184, 2178)
(u662, p241):(u600, p241, 2179)
(u67, p241):(u600, p241, 2180)
(u1133, p241):(u600, p241, 2181)
(u484, p241):(u600, p241, 2182)
(u825, p517):(u602, p517, 2183)
(u1100, p610):(u603, p612, 2184)
(u1100, p612):(u603, p612, 2185)
(u603, p611):(u603, p612, 2186)
(u1175, p611):(u603, p612, 2187)
(u1175, p610):(u603, p612, 2188)
(u603, p610):(u603, p612, 2189)
(u1175, p612):(u603, p612, 2190)
(u1100, p611):(u603, p612, 2191)
(u603, p612):(-1, -1, 2192)
(u221, p428):(u605, p428, 2193)
(u709, p428):(u605, p428, 2194)
(u1056, p428):(u605, p428, 2195)
(u1007, p428):(u605, p428, 2196)
(u332, p428):(u605, p428, 2197)
(u894, p428):(u605, p428, 2198)
(u953, p428):(u605, p428, 2199)
(u1006, p428):(u605, p428, 2200)
(u605, p428):(-1, -1, 2201)
(u607, p214):(u607, p356, 2202)
(u135, p356):(u607, p356, 2203)
(u607, p356):(-1, -1, 2204)
(u196, p411):(u608, p411, 2205)
(u196, p238):(u608, p238, 2206)
(u721, p294):(u609, p294, 2207)
(u831, p466):(u610, p466, 2208)
(u831, p4):(u610, p4, 2209)
(u611, p270):(u611, p273, 2210)
(u208, p226):(u612, p226, 2211)
(u1053, p226):(u612, p226, 2212)
(u1081, p226):(u612, p226, 2213)
(u973, p226):(u612, p226, 2214)
(u167, p226):(u612, p226, 2215)
(u64, p226):(u612, p226, 2216)
(u612, p226):(-1, -1, 2217)
(u793, p50):(u620, p50, 2218)
(u1073, p50):(u620, p50, 2219)
(u312, p50):(u620, p50, 2220)
(u312, p372):(u620, p372, 2221)
(u150, p372):(u620, p372, 2222)
(u793, p372):(u620, p372, 2223)
(u1073, p372):(u620, p372, 2224)
(u683, p391):(u621, p391, 2225)
(u1062, p147):(u621, p391, 2226)
(u1062, p301):(u621, p391, 2227)
(u683, p301):(u621, p391, 2228)
(u1062, p391):(u621, p391, 2229)
(u165, p391):(u621, p391, 2230)
(u621, p301):(u621, p391, 2231)
(u621, p391):(-1, -1, 2232)
(u178, p336):(u622, p336, 2233)
(u1035, p336):(u622, p336, 2234)
(u1154, p336):(u622, p336, 2235)
(u1106, p336):(u622, p336, 2236)
(u198, p336):(u622, p336, 2237)
(u125, p336):(u622, p336, 2238)
(u246, p336):(u622, p336, 2239)
(u617, p336):(u622, p336, 2240)
(u388, p336):(u622, p336, 2241)
(u545, p336):(u622, p336, 2242)
